Packet no,Latency(ms)
1,43.63393784
2,33.47730637
3,38.36536407
4,39.37721252
5,37.45746613
6,37.19997406
7,40.34328461
8,32.48310089
9,37.44077682
10,36.40985489
11,31.61859512
12,30.5018425
13,36.46707535
14,38.4888649
15,36.44895554
16,36.42749786
17,36.46802902
18,30.54046631
19,29.53290939
20,40.29655457
21,38.46645355
22,33.52928162
23,40.42005539
24,32.72867203
25,32.51361847
26,37.60385513
27,37.31775284
28,34.51299667
29,38.19417953
30,35.37654877
31,37.48130798
32,33.41293335
33,40.63367844
34,37.43505478
35,37.54234314
36,37.44983673
37,36.35025024
38,38.40065002
39,37.45937347
40,31.42976761
41,39.50595856
42,37.4751091
43,38.37156296
44,38.47408295
45,38.41781616
46,38.59424591
47,38.52558136
48,38.7301445
49,39.32237625
50,37.42694855
51,36.4947319
52,38.37490082
53,30.10892868
54,30.58290482
55,38.5594368
56,37.37163544
57,37.38880157
58,37.67776489
59,36.44561768
60,30.49707413
61,32.50265121
62,36.33213043
63,37.51277924
64,37.48655319
65,37.47415543
66,36.34977341
67,37.47034073
68,38.37823868
69,36.5896225
70,38.41400146
71,36.3817215
72,32.54508972
73,38.35010529
74,33.4444046
75,37.44697571
76,39.4654274
77,37.31536865
78,31.54802322
79,36.47422791
80,30.85231781
81,36.24248505
82,38.38825226
83,36.4575386
84,30.50708771
85,30.62582016
86,33.36143494
87,32.49549866
88,37.45937347
89,32.47880936
90,38.34009171
91,36.47184372
92,36.23723984
93,36.60726547
94,37.38641739
95,38.52558136
96,37.43171692
97,38.04111481
98,39.42203522
99,40.89975357
100,34.42144394
